fn,game,true,pred_tv,s_tv,g_tv,pred_bil,s_bil,g_bil
PXL_20260614_142116011.jpg,yugioh,ygo-SGX3-ENE04-8581705,ygo-DR1-EN233-8581705,0.8792,0.0,ygo-DCR-071-8581705,0.8807,0.0
PXL_20260614_142125789.jpg,yugioh,ygo-SGX3-ENE07-35798491,ygo-DR1-EN231-35798491,0.7979,0.0,ygo-DCR-069-35798491,0.7971,0.0
PXL_20260614_142132953.jpg,yugioh,ygo-MGED-EN082-79747096,ygo-BLAR-EN021-79747096,0.809,0.0,ygo-BLAR-EN021-79747096,0.8019,0.0
PXL_20260614_142142661.jpg,yugioh,ygo-RA04-EN032-32600024,ygo-MGED-EN022-32600024,0.8336,0.0,ygo-MGED-EN022-32600024,0.8339,0.0
PXL_20260614_142152584.jpg,yugioh,ygo-RA04-EN045-29280200,ygo-RA04-EN045-29280200,0.9024,0.0,ygo-RA04-EN045-29280200,0.8992,0.0
PXL_20260614_142202218.jpg,yugioh,ygo-SGX3-END20-6799227,ygo-BP02-EN207-6799227,0.8455,0.0,ygo-STBL-EN070-6799227,0.8468,0.0
PXL_20260614_142211660.jpg,yugioh,ygo-SDBT-EN007-88078306,ygo-DUOV-EN054-88078306,0.8775,0.0,ygo-SDBT-EN007-88078306,0.8826,0.0
PXL_20260614_142218935.jpg,yugioh,ygo-SGX3-END18-80193355,ygo-MP25-EN173-50311058,0.7267,0.0005,ygo-MP24-EN074-92714517,0.7308,0.0
PXL_20260614_142231592.jpg,yugioh,ygo-SGX3-END16-67987611,ygo-SGX3-END16-67987611,0.7761,0.0,ygo-DR1-EN151-67987611,0.782,0.0
PXL_20260614_142240207.jpg,yugioh,ygo-SGX3-END14-36100154,ygo-DREV-EN054-36100154,0.8013,0.0,ygo-SGX3-END14-36100154,0.8014,0.0
PXL_20260614_142249204.jpg,yugioh,ygo-SGX3-ENE01-61370518,ygo-MP24-EN216-88554436,0.8743,0.0001,ygo-DR1-EN235-61370518,0.8792,0.0
PXL_20260614_142259295.jpg,yugioh,ygo-MGED-EN109-81119816,ygo-HISU-EN014-81119816,0.904,0.0,ygo-HISU-EN014-81119816,0.902,0.0
