fn,game,bucket,true,pred,top1_sim,gap,hit1,confident
PXL_20260614_142116011.jpg,yugioh,variant,ygo-SGX3-ENE04-8581705,mtg-40k-78★,0.8042,0.0049,False,False
PXL_20260614_142125789.jpg,yugioh,variant,ygo-SGX3-ENE07-35798491,mtg-dgm-12,0.7813,0.0027,False,False
PXL_20260614_142132953.jpg,yugioh,variant,ygo-MGED-EN082-79747096,mtg-rtr-92,0.7418,0.0123,False,False
PXL_20260614_142142661.jpg,yugioh,variant,ygo-RA04-EN032-32600024,mtg-tdc-28,0.7865,0.007,False,False
PXL_20260614_142152584.jpg,yugioh,variant,ygo-RA04-EN045-29280200,sv7-71,0.7942,0.0033,False,False
PXL_20260614_142202218.jpg,yugioh,variant,ygo-SGX3-END20-6799227,xy10-54,0.809,0.0051,False,False
PXL_20260614_142211660.jpg,yugioh,variant,ygo-SDBT-EN007-88078306,mtg-j22-74,0.8172,0.0188,False,False
PXL_20260614_142218935.jpg,yugioh,variant,ygo-SGX3-END18-80193355,mtg-zen-109,0.7585,0.0074,False,False
PXL_20260614_142231592.jpg,yugioh,variant,ygo-SGX3-END16-67987611,mtg-inv-77,0.7285,0.0079,False,False
PXL_20260614_142240207.jpg,yugioh,variant,ygo-SGX3-END14-36100154,mtg-me2-67,0.7667,0.0074,False,False
PXL_20260614_142249204.jpg,yugioh,variant,ygo-SGX3-ENE01-61370518,mtg-rtr-219,0.8396,0.0062,False,False
PXL_20260614_142259295.jpg,yugioh,variant,ygo-MGED-EN109-81119816,gym1-46,0.7357,0.0093,False,False
PXL_20260614_142313225.jpg,yugioh,variant,ygo-RA04-EN057-73580471,mtg-j22-80,0.8603,0.0159,False,False
PXL_20260614_142324969.jpg,yugioh,variant,ygo-RA04-EN066-63746411,mtg-dis-4,0.7456,0.0115,False,False
PXL_20260614_142334884.jpg,yugioh,variant,ygo-RA04-EN064-12014404,mtg-40k-33★,0.789,0.001,False,False
PXL_20260614_142342775.jpg,yugioh,variant,ygo-MGED-EN115-43886072,bwp-BW80,0.7826,0.0153,False,False
PXL_20260614_142343980.jpg,yugioh,variant,ygo-MGED-EN115-43886072,bwp-BW80,0.7815,0.0107,False,False
PXL_20260614_142356212.jpg,yugioh,variant,ygo-MP25-EN027-46502744,mtg-dst-33,0.7807,0.0051,False,False
PXL_20260614_142404352.jpg,yugioh,variant,ygo-SDBT-EN005-28201945,mtg-j22-74,0.7882,0.0166,False,False
PXL_20260614_142414276.jpg,yugioh,variant,ygo-MGED-EN068-9753964,mtg-j22-80,0.8746,0.0162,False,False
PXL_20260614_142426760.jpg,yugioh,variant,ygo-SDBT-EN008-28868394,mtg-dmu-189,0.7924,0.0017,False,False
PXL_20260614_142434918.jpg,yugioh,variant,ygo-SDBT-EN006-45803070,mtg-dmr-339,0.8074,0.0011,False,False
PXL_20260614_142447926.jpg,yugioh,variant,ygo-DREV-EN087-79965360,mtg-c19-80,0.7957,0.0124,False,False
PXL_20260614_142455597.jpg,yugioh,variant,ygo-SGX3-END13-712559,mtg-pcy-28,0.7725,0.0032,False,False
PXL_20260614_142509362.jpg,pokemon,variant,me2pt5-28,me2pt5-28,0.9003,0.0381,True,True
PXL_20260614_142522795.jpg,pokemon,variant,swsh6-18,swshp-SWSH277,0.8916,0.0037,False,False
PXL_20260614_142532460.jpg,pokemon,variant,me2pt5-99,sv6-95,0.8986,0.008,False,False
PXL_20260614_142549494.jpg,pokemon,variant,me2pt5-12,dp1-63,0.8418,0.016,False,False
PXL_20260614_142600245.jpg,pokemon,variant,sv4pt5-47,sv4pt5-47,0.9507,0.0032,True,False
PXL_20260614_142612080.jpg,pokemon,variant,me2pt5-102,me2pt5-102,0.92,0.0547,True,True
PXL_20260614_142622036.jpg,pokemon,variant,me2pt5-60,me2pt5-60,0.8916,0.0021,True,False
PXL_20260614_142635747.jpg,pokemon,variant,sv8-14,sv8-14,0.8943,0.1038,True,True
PXL_20260614_142644963.jpg,pokemon,variant,me1-84,me1-84,0.8658,0.0306,True,True
PXL_20260614_142654342.jpg,pokemon,variant,sv8-141,sv8-141,0.8976,0.0563,True,True
PXL_20260614_142704322.jpg,pokemon,variant,sv3-141,sv3-141,0.8648,0.0533,True,True
PXL_20260614_142715908.jpg,pokemon,variant,sv8pt5-49,sv8pt5-49,0.919,0.0005,True,False
PXL_20260614_142726129.jpg,pokemon,variant,rsv10pt5-68,rsv10pt5-68,0.8811,0.0875,True,True
PXL_20260614_142735982.jpg,pokemon,variant,sv3-85,sv3-85,0.9131,0.077,True,True
PXL_20260614_142743518.jpg,pokemon,variant,swsh11-26,sm8-51,0.8389,0.005,False,False
PXL_20260614_142756027.jpg,pokemon,variant,swsh11-36,swsh11-36,0.8789,0.0033,True,False
PXL_20260614_142808018.jpg,pokemon,variant,swsh11-39,swsh11-39,0.8487,0.019,True,False
PXL_20260614_142816503.jpg,pokemon,variant,swsh11-106,swsh11-106,0.9058,0.0712,True,True
PXL_20260614_142824471.jpg,pokemon,variant,me1-92,me1-92,0.8932,0.0747,True,True
PXL_20260614_142835186.jpg,pokemon,variant,sv9-155,sv9-155,0.8674,0.1262,True,True
PXL_20260614_142843227.jpg,pokemon,variant,sv10-9,sv10-9,0.9136,0.0853,True,True
PXL_20260614_142852519.jpg,pokemon,variant,sv10-138,sv10-138,0.8978,0.0795,True,True
PXL_20260614_142902019.jpg,pokemon,variant,zsv10pt5-64,zsv10pt5-64,0.8268,0.0047,True,False
PXL_20260614_142911617.jpg,pokemon,variant,sv6-149,sv6-149,0.8,0.0053,True,False
PXL_20260614_142922019.jpg,pokemon,variant,swsh8-67,swsh8-67,0.9323,0.0952,True,True
PXL_20260614_142936380.jpg,pokemon,variant,me2pt5-99,sv6-95,0.8948,0.009,False,False
PXL_20260614_142942971.jpg,pokemon,distinct,me2pt5-99,sv6-95,0.9226,0.0086,False,False
PXL_20260614_142955866.jpg,pokemon,distinct,sv5-118,sv5-118,0.84,0.0818,True,True
PXL_20260614_145802704.jpg,yugioh,distinct,ygo-MP24-EN355-6214163,mtg-j22-584,0.7574,0.0066,False,False
PXL_20260614_145810880.jpg,yugioh,distinct,ygo-MGED-EN134-33746252,mtg-ody-288,0.8112,0.0096,False,False
