match_key,filename,source,width,height,aspect,orientation,mode,kb,gen_marker,collector_number,face
AGRESSIVEGA,AgressiveGA.png,community,1030,1438,0.716,portrait,RGBA,1730.9,,,
ALEERA,Aleera_11d9656c-9c3b-46e4-80bb-bf6220b8d1df.png,community,750,1050,0.714,portrait,RGB,1018.4,,,
ALEERA,Aleera_11d9656c-9c3b-46e4-80bb-bf6220b8d1df.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,151.9,,,
AMPFLIFY,Ampflify.png,community,1030,1438,0.716,portrait,RGBA,2044.7,,,
ANCIENTWISDOM,AncientWisdom.png,community,750,1050,0.714,portrait,RGB,750.8,,,
ANCIENTWISDOM,AncientWisdom.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,114.3,,,
ANGRYMOB,AngryMob.png,dawn_of_terror,750,1050,0.714,portrait,RGB,1003.9,,,
APANICONOURHANDS,APanicOnOurHands.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,192.3,,,
BARRACUDA,Barracuda.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,142.6,,,
BATTOKEN,BatToken.png,community,1030,1438,0.716,portrait,RGBA,1971.8,,,
BLACKWIDOW,BlackWidow.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,127.0,,,
BLOODHOUND,Bloodhound.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,148.8,,,
BLOODSUCKINGBAT,BloodsuckingBat.png,community,750,1050,0.714,portrait,RGB,789.1,,,
BLOODSUCKINGBAT,BloodsuckingBat.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,123.7,,,
BLOODSUCKINGBAT1,BloodsuckingBat(1).png,community,750,1050,0.714,portrait,RGB,789.1,,,
BODYSNATCHER,BodySnatcher.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,111.9,,,
CARFAXABBEY,CarfaxAbbey.jpg,dawn_of_terror,1792,1274,1.407,landscape,RGB,156.4,,,
CARPATHIANWILDCAT,CarpathianWildcat.png,community,750,1050,0.714,portrait,RGB,853.9,,,
CARPATHIANWILDCAT,CarpathianWildcat.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,128.9,,,
CARRIAGEDRIVER,CarriageDriver.png,community,750,1050,0.714,portrait,RGB,849.2,,,
CARRIAGEDRIVER,CarriageDriver.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,129.1,,,
CIRCLING,Circling.png,community,1030,1438,0.716,portrait,RGBA,1883.4,,,
CLASH,Clash.png,community,1030,1438,0.716,portrait,RGBA,1928.5,,,
COLOSSALDEATHANGLELUR,ColossalDeathAngleLUR.png,community,1030,1438,0.716,portrait,RGBA,2084.7,,,
COLOSSALDEATHANGLEMINNION,ColossalDeathAngleMinnion.png,community,1030,1438,0.716,portrait,RGBA,1933.9,,,
COLOSSALDEATHANGLEUNL,ColossalDeathAngleUNL.png,community,1030,1438,0.716,portrait,RGBA,2015.8,,,
CORRUPTCOUNCILMAN,CorruptCouncilman.png,community,1030,1438,0.716,portrait,RGBA,1706.6,,,
COSMICRAYDIFFUSER,Cosmic_Ray_Diffuser.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,143.3,,,
COUNTALUCARD,CountAlucard.png,community,750,1050,0.714,portrait,RGB,1032.1,,,
COUNTALUCARD,DOT_044_COUNT_ALUCARD.jpeg,community,945,2048,0.461,portrait,RGB,114.8,,044,
COUNTALUCARD,CountAlucard.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,169.1,,,
COUNTESSZALESKA,CountessZaleska.png,community,750,1050,0.714,portrait,RGB,773.6,,,
COUNTESSZALESKA,CountessZaleska.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,130.8,,,
COVENFEAST,CovenFeast.png,community,750,1050,0.714,portrait,RGB,812.1,,,
COVENFEAST,CovenFeast.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,128.5,,,
DAREDEVIL,Daredevil.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,151.5,,,
DARKAVENGER,DarkAvenger.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,174.3,,,
DEATHANGEL,DeathAngel.png,community,1030,1438,0.716,portrait,RGBA,1983.1,,,
DEATHSTALKERSCORPION,DeathstalkerScorpion.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,148.3,,,
DEFENESTRATION,Defenestration.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,141.4,,,
DEPUTYHENDRICKS,DeputyHendricks.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,188.5,,,
DOCK,Dock.png,community,1030,1438,0.716,portrait,RGBA,2008.5,,,
DRACULALURK,DraculaLurk.png,community,1030,1438,0.716,portrait,RGBA,1659.4,,,
DRACULALURKING,DOT_439_DRACULA_LURKING.png,community,1030,1438,0.716,portrait,RGBA,1952.8,,439,lurking
DRACULALURKING,Dracula_TT_Lurking.png,community,750,1050,0.714,portrait,RGB,792.1,,,lurking
DRACULALURKING,Dracula_TT_Lurking.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,117.9,,,lurking
DRACULASCAPE,DraculasCape.png,community,1030,1438,0.716,portrait,RGBA,1677.1,,,
DRACULAUNLEASHED,DOT_439_DRACULA_UNLEASHED.png,community,1030,1438,0.716,portrait,RGBA,2072.8,,439,unleashed
DRACULAUNLEASHED,DraculaUnleashed.png,community,1030,1438,0.716,portrait,RGBA,1918.6,,,unleashed
DRACULAUNLEASHED,Dracula_TT_Unleashed.png,community,750,1050,0.714,portrait,RGB,850.7,,,unleashed
DRACULAUNLEASHED,Dracula_TT_Unleashed.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,132.7,,,unleashed
DRAINLIFE,DrainLife.png,community,750,1050,0.714,portrait,RGB,895.4,,,
DRAINLIFE,DrainLife.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,142.2,,,
DRSEWARD,DrSeward.png,community,1030,1438,0.716,portrait,RGBA,1733.8,,,
EMMETT,Emmett.png,community,1030,1438,0.716,portrait,RGBA,2116.7,,,
EVELYN,Evelyn.png,community,1030,1438,0.716,portrait,RGBA,1909.8,,,
EVISCERATE,Eviscerate.png,community,1030,1438,0.716,portrait,RGBA,2092.6,,,
FEROCIOUSWOLFPACK,FerociousWolfpack.png,community,750,1050,0.714,portrait,RGB,987.5,,,
FEROCIOUSWOLFPACK,FerociousWolfpack.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,162.0,,,
GIANTOCTOPUS,GiantOctopus.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,159.5,,,
GOTHICGARGOYLE,GEN_DOT_B32_GOTHIC_GARGOYLE.jpeg,community,945,2048,0.461,portrait,RGB,138.7,GEN,B32,
GOTHICGARGOYLE,GothicGargoyle.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,124.0,,,
GROUNDSKEEPER,Groundskeeper.png,community,1030,1438,0.716,portrait,RGBA,1952.6,,,
HEADLESSHORSEMAN,GEN_DOT_009_HEADLESS_HORSEMAN.jpg,community,750,1050,0.714,portrait,RGB,60.2,GEN,009,
HEADLESSHORSEMANLURKING,HeadlessHorseman_Lurking.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,173.2,,,lurking
HEADLESSHORSEMANUNLEASHED,HeadlessHorseman_Unleashed.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,178.9,,,unleashed
HEADLESSHORSMENMINION,HeadlessHorsmenMinion.png,community,1030,1438,0.716,portrait,RGBA,2019.6,,,
HESSIANSWORD,HessianSword.png,community,1030,1438,0.716,portrait,RGBA,1779.1,,,
HOMUNCLULUSCASKET,HomunclulusCasket.png,community,1030,1438,0.716,portrait,RGBA,1981.3,,,
HOODEDFIGURE,HoodedFigure.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,129.7,,,
INTIMIDATE,Intimidate.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,120.4,,,
JAWSDERANGED,JawsDeranged.png,community,1030,1438,0.716,portrait,RGBA,1846.6,,,
