fn,bucket,true,pred,gap,top5
PXL_20260614_142125789.jpg,variant,ygo-SGX3-ENE07-35798491,ygo-DR1-EN231-35798491,0.0,"[[""ygo-DR1-EN231-35798491"", 0.8255670070648193], [""ygo-SGX3-ENE07-35798491"", 0.8255670070648193], [""ygo-DCR-069-35798491"", 0.8255670070648193], [""ygo-DR1-EN233-8581705"", 0.8040473461151123], [""ygo-DCR-071-8581705"", 0.8040473461151123]]"
PXL_20260614_142132953.jpg,variant,ygo-MGED-EN082-79747096,ygo-BLAR-EN021-79747096,0.0,"[[""ygo-BLAR-EN021-79747096"", 0.8434826135635376], [""ygo-MGED-EN082-79747096"", 0.8434826135635376], [""ygo-GFTP-EN004-3292267"", 0.7608949542045593], [""ygo-MGED-EN088-77402960"", 0.7593159675598145], [""ygo-MGED-EN032-15862758"", 0.7552711963653564]]"
PXL_20260614_142142661.jpg,variant,ygo-RA04-EN032-32600024,ygo-MGED-EN022-32600024,0.0,"[[""ygo-MGED-EN022-32600024"", 0.8087327480316162], [""ygo-OP28-EN002-32600024"", 0.8087327480316162], [""ygo-ETCO-EN026-32600024"", 0.8087327480316162], [""ygo-RA04-EN032-32600024"", 0.8087327480316162], [""ygo-BLMM-EN062-32600024"", 0.8087327480316162]]"
PXL_20260614_142152584.jpg,variant,ygo-RA04-EN045-29280200,ygo-WISU-EN019-29280200,0.0,"[[""ygo-WISU-EN019-29280200"", 0.9284108281135559], [""ygo-RA04-EN045-29280200"", 0.9284108281135559], [""ygo-MP25-EN098-55320758"", 0.8784421682357788], [""ygo-MP25-EN155-64257161"", 0.8781616687774658], [""ygo-MP25-EN331-78905039"", 0.8763469457626343]]"
PXL_20260614_142202218.jpg,variant,ygo-SGX3-END20-6799227,ygo-MP25-EN296-77543769,0.0005,"[[""ygo-MP25-EN296-77543769"", 0.8634408712387085], [""ygo-DUEA-EN071-41510920"", 0.8629215359687805], [""ygo-GFTP-EN057-47360060"", 0.8592219948768616], [""ygo-MP24-EN199-18158393"", 0.8557703495025635], [""ygo-MP25-EN332-31398842"", 0.8438130617141724]]"
PXL_20260614_142211660.jpg,variant,ygo-SDBT-EN007-88078306,ygo-LART-EN056-88078306,0.0,"[[""ygo-LART-EN056-88078306"", 0.8939312100410461], [""ygo-SDBT-EN007-88078306"", 0.8939312100410461], [""ygo-DUOV-EN054-88078306"", 0.8939312100410461], [""ygo-MP22-EN063-28868394"", 0.8437345623970032], [""ygo-LIOV-EN016-28868394"", 0.8437345623970032]]"
PXL_20260614_142218935.jpg,variant,ygo-SGX3-END18-80193355,ygo-GFTP-EN042-51849216,0.006,"[[""ygo-GFTP-EN042-51849216"", 0.8068499565124512], [""ygo-DUEA-EN071-41510920"", 0.8008852005004883], [""ygo-DUEA-EN077-39276790"", 0.7936713695526123], [""ygo-MP25-EN296-77543769"", 0.7896851301193237], [""ygo-GFTP-EN057-47360060"", 0.7880123853683472]]"
PXL_20260614_142231592.jpg,variant,ygo-SGX3-END16-67987611,ygo-MFC-096-67987611,0.0,"[[""ygo-MFC-096-67987611"", 0.8102364540100098], [""ygo-SS02-ENC15-67987611"", 0.8102364540100098], [""ygo-GLD3-EN046-67987611"", 0.8102364540100098], [""ygo-SGX3-END16-67987611"", 0.8102364540100098], [""ygo-DR1-EN151-67987611"", 0.8102364540100098]]"
PXL_20260614_142240207.jpg,variant,ygo-SGX3-END14-36100154,ygo-DREV-EN054-36100154,0.0,"[[""ygo-DREV-EN054-36100154"", 0.8350273370742798], [""ygo-SGX3-END14-36100154"", 0.8350273370742798], [""ygo-MP25-EN394-59016454"", 0.7840123176574707], [""ygo-DUEA-EN077-39276790"", 0.7822063565254211], [""ygo-GFTP-EN008-39468724"", 0.7814157009124756]]"
PXL_20260614_142249204.jpg,variant,ygo-SGX3-ENE01-61370518,ygo-BP01-EN006-61370518,0.0,"[[""ygo-BP01-EN006-61370518"", 0.9005221128463745], [""ygo-DCR-073-61370518"", 0.9005221128463745], [""ygo-SGX3-ENE01-61370518"", 0.9005221128463745], [""ygo-DR1-EN235-61370518"", 0.9005221128463745], [""ygo-SGX3-ENA07-95943058"", 0.8655285835266113]]"
PXL_20260614_142259295.jpg,variant,ygo-MGED-EN109-81119816,ygo-HISU-EN014-81119816,0.0,"[[""ygo-HISU-EN014-81119816"", 0.9154621362686157], [""ygo-MGED-EN109-81119816"", 0.9154621362686157], [""ygo-MP25-EN384-22712877"", 0.813194990158081], [""ygo-MGED-EN113-81997228"", 0.7969446182250977], [""ygo-SDBT-EN022-16223761"", 0.794698178768158]]"
PXL_20260614_142334884.jpg,variant,ygo-RA04-EN064-12014404,ygo-AP05-EN002-12014404,0.0,"[[""ygo-AP05-EN002-12014404"", 0.842126727104187], [""ygo-ABYR-EN041-12014404"", 0.842126727104187], [""ygo-WIRA-EN043-12014404"", 0.842126727104187], [""ygo-RA04-EN064-12014404"", 0.842126727104187], [""ygo-PGL3-EN067-12014404"", 0.842126727104187]]"
PXL_20260614_142343980.jpg,variant,ygo-MGED-EN115-43886072,ygo-HISU-EN021-43886072,0.0,"[[""ygo-HISU-EN021-43886072"", 0.8970353603363037], [""ygo-MGED-EN115-43886072"", 0.8970353603363037], [""ygo-DREV-EN074-84962466"", 0.7675818204879761], [""ygo-MP25-EN236-23920796"", 0.7670363783836365], [""ygo-MGED-EN114-17382973"", 0.7607645392417908]]"
PXL_20260614_142356212.jpg,variant,ygo-MP25-EN027-46502744,ygo-SDBT-EN011-46502744,0.0,"[[""ygo-SDBT-EN011-46502744"", 0.8729338049888611], [""ygo-MP16-EN076-46502744"", 0.8729338049888611], [""ygo-GFP2-EN108-46502744"", 0.8729338049888611], [""ygo-CORE-EN045-46502744"", 0.8729338049888611], [""ygo-MP25-EN027-46502744"", 0.8729338049888611]]"
