fn,bucket,true,pred,gap,top5
PXL_20260614_142116011.jpg,variant,ygo-SGX3-ENE04-8581705,ygo-DR1-EN233-8581705,0.0,"[[""ygo-DR1-EN233-8581705"", 0.8791877627372742], [""ygo-DCR-071-8581705"", 0.8791877627372742], [""ygo-SGX3-ENE04-8581705"", 0.8791877627372742], [""ygo-DCR-069-35798491"", 0.8539035320281982], [""ygo-SGX3-ENE07-35798491"", 0.8539035320281982]]"
PXL_20260614_142125789.jpg,variant,ygo-SGX3-ENE07-35798491,ygo-DR1-EN231-35798491,0.0,"[[""ygo-DR1-EN231-35798491"", 0.7978509068489075], [""ygo-SGX3-ENE07-35798491"", 0.7978509068489075], [""ygo-DCR-069-35798491"", 0.7978509068489075], [""ygo-RA04-EN263-90432163"", 0.7703831791877747], [""ygo-MGED-EN078-90432163"", 0.7703831791877747]]"
PXL_20260614_142132953.jpg,variant,ygo-MGED-EN082-79747096,ygo-BLAR-EN021-79747096,0.0,"[[""ygo-BLAR-EN021-79747096"", 0.80904221534729], [""ygo-MGED-EN082-79747096"", 0.80904221534729], [""ygo-MP25-EN300-58820923"", 0.7595980167388916], [""ygo-MGED-EN032-15862758"", 0.745959997177124], [""ygo-DUEA-EN071-41510920"", 0.744326114654541]]"
PXL_20260614_142142661.jpg,variant,ygo-RA04-EN032-32600024,ygo-MGED-EN022-32600024,0.0,"[[""ygo-MGED-EN022-32600024"", 0.8336227536201477], [""ygo-RA04-EN032-32600024"", 0.8336227536201477], [""ygo-OP28-EN002-32600024"", 0.8336227536201477], [""ygo-ETCO-EN026-32600024"", 0.8336227536201477], [""ygo-BLMM-EN062-32600024"", 0.8336227536201477]]"
PXL_20260614_142202218.jpg,variant,ygo-SGX3-END20-6799227,ygo-BP02-EN207-6799227,0.0,"[[""ygo-BP02-EN207-6799227"", 0.8454881310462952], [""ygo-SGX3-END20-6799227"", 0.8454881310462952], [""ygo-STBL-EN070-6799227"", 0.8454881310462952], [""ygo-MP25-EN165-65261141"", 0.817442774772644], [""ygo-MP24-EN347-82286798"", 0.8112442493438721]]"
PXL_20260614_142211660.jpg,variant,ygo-SDBT-EN007-88078306,ygo-DUOV-EN054-88078306,0.0,"[[""ygo-DUOV-EN054-88078306"", 0.8774806261062622], [""ygo-SDBT-EN007-88078306"", 0.8774806261062622], [""ygo-LART-EN056-88078306"", 0.8774806261062622], [""ygo-SDBT-EN042-1688285"", 0.8466188907623291], [""ygo-MP24-EN144-42493140"", 0.8328190445899963]]"
PXL_20260614_142218935.jpg,variant,ygo-SGX3-END18-80193355,ygo-MP25-EN173-50311058,0.0005,"[[""ygo-MP25-EN173-50311058"", 0.7266753911972046], [""ygo-SGX3-END18-80193355"", 0.7261613607406616], [""ygo-GLD3-EN047-80193355"", 0.7261613607406616], [""ygo-MFC-097-80193355"", 0.7261613607406616], [""ygo-DR1-EN152-80193355"", 0.7261613607406616]]"
PXL_20260614_142240207.jpg,variant,ygo-SGX3-END14-36100154,ygo-DREV-EN054-36100154,0.0,"[[""ygo-DREV-EN054-36100154"", 0.8013107776641846], [""ygo-SGX3-END14-36100154"", 0.8013107776641846], [""ygo-MP24-EN256-73355951"", 0.7710973024368286], [""ygo-MGED-EN123-74889525"", 0.7569750547409058], [""ygo-MP24-EN105-61070601"", 0.7541000843048096]]"
PXL_20260614_142249204.jpg,variant,ygo-SGX3-ENE01-61370518,ygo-MP24-EN216-88554436,0.0001,"[[""ygo-MP24-EN216-88554436"", 0.8743116855621338], [""ygo-DR1-EN235-61370518"", 0.8742278814315796], [""ygo-SGX3-ENE01-61370518"", 0.8742278814315796], [""ygo-BP01-EN006-61370518"", 0.8742278814315796], [""ygo-DCR-073-61370518"", 0.8742278814315796]]"
PXL_20260614_142259295.jpg,variant,ygo-MGED-EN109-81119816,ygo-HISU-EN014-81119816,0.0,"[[""ygo-HISU-EN014-81119816"", 0.9040217399597168], [""ygo-MGED-EN109-81119816"", 0.9040217399597168], [""ygo-MGED-EN110-31440046"", 0.7563289403915405], [""ygo-MP25-EN149-45951104"", 0.7517383694648743], [""ygo-MP25-EN347-74150658"", 0.7509559988975525]]"
PXL_20260614_142313225.jpg,variant,ygo-RA04-EN057-73580471,ygo-L26D-ENX31-73580471,0.0,"[[""ygo-L26D-ENX31-73580471"", 0.9032332301139832], [""ygo-LC05-EN004-73580471"", 0.9032332301139832], [""ygo-LC5D-EN099-73580471"", 0.9032332301139832], [""ygo-TN23-EN014-73580471"", 0.9032332301139832], [""ygo-MGED-EN026-73580471"", 0.9032332301139832]]"
PXL_20260614_142334884.jpg,variant,ygo-RA04-EN064-12014404,ygo-WIRA-EN043-12014404,0.0,"[[""ygo-WIRA-EN043-12014404"", 0.8310091495513916], [""ygo-PGL3-EN067-12014404"", 0.8310091495513916], [""ygo-ABYR-EN041-12014404"", 0.8310091495513916], [""ygo-AP05-EN002-12014404"", 0.8310091495513916], [""ygo-BP03-EN123-12014404"", 0.8310091495513916]]"
PXL_20260614_142356212.jpg,variant,ygo-MP25-EN027-46502744,ygo-CORE-EN045-46502744,0.0,"[[""ygo-CORE-EN045-46502744"", 0.8080919981002808], [""ygo-GFP2-EN108-46502744"", 0.8080919981002808], [""ygo-SDBT-EN011-46502744"", 0.8080919981002808], [""ygo-MP25-EN027-46502744"", 0.8080919981002808], [""ygo-OP04-EN007-46502744"", 0.8080919981002808]]"
PXL_20260614_142404352.jpg,variant,ygo-SDBT-EN005-28201945,ygo-PGL2-EN038-28201945,0.0,"[[""ygo-PGL2-EN038-28201945"", 0.8750854730606079], [""ygo-SDBT-EN005-28201945"", 0.8750854730606079], [""ygo-JOTL-EN034-28201945"", 0.8750854730606079], [""ygo-MP14-EN087-28201945"", 0.8750854730606079], [""ygo-SDBT-EN042-1688285"", 0.8387764096260071]]"
