fn,ocr_num,ocr_total
PXL_20260614_142509362.jpg,28,217
PXL_20260614_142522795.jpg,18,198
PXL_20260614_142532460.jpg,99,217
PXL_20260614_142549494.jpg,12,217
PXL_20260614_142600245.jpg,47,91
PXL_20260614_142612080.jpg,102,217
PXL_20260614_142622036.jpg,60,217
PXL_20260614_142635747.jpg,14,191
PXL_20260614_142644963.jpg,84,132
PXL_20260614_142654342.jpg,141,191
PXL_20260614_142704322.jpg,141,197
PXL_20260614_142715908.jpg,49,131
PXL_20260614_142726129.jpg,68,86
PXL_20260614_142735982.jpg,85,197
PXL_20260614_142743518.jpg,26,196
PXL_20260614_142756027.jpg,36,196
PXL_20260614_142808018.jpg,39,196
PXL_20260614_142816503.jpg,106,196
PXL_20260614_142824471.jpg,92,132
PXL_20260614_142835186.jpg,155,159
PXL_20260614_142843227.jpg,9,182
PXL_20260614_142852519.jpg,138,182
PXL_20260614_142902019.jpg,64,86
PXL_20260614_142911617.jpg,149,167
PXL_20260614_142922019.jpg,67,264
PXL_20260614_142936380.jpg,99,217
PXL_20260614_142942971.jpg,99,217
PXL_20260614_142955866.jpg,118,162
PXL_20260614_150015927.jpg,79,131
PXL_20260614_150023502.jpg,16,131
PXL_20260614_150029944.jpg,161,167
PXL_20260614_150036169.jpg,86,165
PXL_20260614_150042218.jpg,74,165
PXL_20260614_150049650.jpg,58,165
PXL_20260614_150058376.jpg,77,131
PXL_20260614_150103783.jpg,169,217
PXL_20260614_150112135.jpg,54,217
PXL_20260614_150120399.jpg,117,217
PXL_20260614_150127161.jpg,65,217
PXL_20260614_150132945.jpg,166,217
PXL_20260614_150138550.jpg,23,217
PXL_20260614_150145533.jpg,18,132
PXL_20260614_150155416.jpg,110,132
PXL_20260614_150204085.jpg,62,132
PXL_20260614_150214067.jpg,12,132
PXL_20260614_150220817.jpg,49,132
PXL_20260614_150229795.jpg,11,132
PXL_20260614_150236176.jpg,69,86
PXL_20260614_150244788.jpg,17,197
PXL_20260614_150251334.jpg,76,197
PXL_20260614_150259142.jpg,130,195
PXL_20260614_150306972.jpg,141,195
PXL_20260614_150313714.jpg,6,198
PXL_20260614_150322569.jpg,85,198
PXL_20260614_150330244.jpg,168,191
PXL_20260614_150336380.jpg,71,131
PXL_20260614_150341969.jpg,39,165
PXL_20260614_150350811.jpg,68,131
PXL_20260614_150401176.jpg,49,217
PXL_20260614_150408378.jpg,52,217
PXL_20260614_151541285.jpg,75,196
PXL_20260614_151551049.jpg,112,132
PXL_20260614_151557195.jpg,4,196
PXL_20260614_151605356.jpg,44,196
PXL_20260614_151612027.jpg,24,132
PXL_20260614_151618378.jpg,2,196
PXL_20260614_151624928.jpg,68,196
PXL_20260614_151632925.jpg,16,217
PXL_20260614_151640950.jpg,11,86
PXL_20260614_151648762.jpg,22,86
PXL_20260614_151658774.jpg,31,195
PXL_20260614_151708246.jpg,30,86
PXL_20260614_151716709.jpg,22,198
PXL_20260614_151723180.jpg,12,198
PXL_20260614_151731390.jpg,86,91
PXL_20260614_151740892.jpg,161,217
PXL_20260614_151746897.jpg,17,217
PXL_20260614_151753491.jpg,216,217
PXL_20260614_151759942.jpg,98,165
PXL_20260614_151809612.jpg,81,131
PXL_20260614_151820267.jpg,75,88
PXL_20260614_151829888.jpg,184,191
PXL_20260614_151837934.jpg,84,88
PXL_20260614_151856075.jpg,18,91
PXL_20260614_151902040.jpg,77,91
PXL_20260614_151908385.jpg,1,195
PXL_20260614_151918734.jpg,74,86
PXL_20260614_151927501.jpg,126,197
PXL_20260614_151934750.jpg,28,86
PXL_20260614_151941246.jpg,174,197
PXL_20260614_151948024.jpg,69,132
PXL_20260614_151954420.jpg,145,196
PXL_20260614_151959842.jpg,1,86
PXL_20260614_152010902.jpg,28,86
PXL_20260614_152021207.jpg,73,86
PXL_20260614_152028080.jpg,31,132
PXL_20260614_152036990.jpg,18,132
PXL_20260614_152044949.jpg,58,86
